カテゴリー,想定質問,回答
1. 商品選び,どの商品を選べばよいですか？,使う場面や持ち歩きたいものによっておすすめが変わります。用途・予算・好みの色を公式LINEからお知らせいただければ、ご希望に合う商品をご提案します。
1. 商品選び,売り切れ・過去商品の再販や注文はできますか？,定番アイテムや過去の商品は、革や金具などの材料があれば再販・製作できる場合があります。ただし、期間限定アイテムは対応できないことがあります。購入を検討している商品を公式LINEから店主に直接ご相談ください。
2. 色選び,色やバイカラーの組み合わせを相談できますか？,はい、公式LINEでご相談いただけます。普段使っているバッグや服の色、好みの雰囲気をお知らせいただければ、組み合わせをご提案します。
2. 色選び,写真と実物の色は同じですか？,天然素材である牛革を使っているため、色ブレや個体特有の傷やシワがあります。色だけではなく革の表情も同じものがない一点ものとなります。
2. 色選び,色によって革の質感は違いますか？,同じ色の革でも、革の部位、製造時期によって手触りや表情に違いがあります。天然素材ならではの個体差としてお楽しみください。
2. 色選び,商品ページにない色の組み合わせや、別商品と同じ色で注文できますか？,材料の在庫があれば対応できる場合があります。希望する商品名と色の組み合わせを公式LINEから店主に直接ご相談ください。
2. 色選び,限定カラーはいつまで購入できますか？,革の在庫状況によって変わりますので、公式LINEからお問い合わせください。
3. カピバラデザイン・刻印,選べるカピバラデザインを見たいです,商品ページや刻印カスタマイズご案内ページで、選べるカピバラデザインをご覧いただけます。
3. カピバラデザイン・刻印,商品写真と違うカピバラに変更できますか？,定番アイテムに刻印しているカピバラデザインは変更することができます。刻印カスタマイズご案内ページ(https://capyno.official.ec/p/00017)をご確認ください
3. カピバラデザイン・刻印,カピバラ刻印を追加したり、複数入れたりできますか？,刻印できるスペースがあれば、カピバラ刻印を無料で追加できます。複数の刻印にも対応できますが、デザインの大きさによっては希望の位置に入れられない場合があります。
3. カピバラデザイン・刻印,刻印する位置を変更できますか？,刻印できるスペースがあれば、表側・内側・目立ちにくい位置などへ変更できます。希望する商品と位置を公式LINEから店主に直接ご相談ください。
3. カピバラデザイン・刻印,カピバラ刻印の大きさを変更できますか？,カピバラ刻印の大きさは変更できません。刻印デザインは大きいものから小さいものまで幅広くご用意していますので、違うデザインのカピバラ刻印に変更してみませんか？刻印カスタマイズご案内ページから刻印の大きさをご確認いただけます。
3. カピバラデザイン・刻印,過去の限定デザインを刻印できますか？,期間限定刻印は、基本的に販売期間中のみご注文を受け付けています。過去の限定デザインは対応できない場合があります。
3. カピバラデザイン・刻印,商品によって選べない刻印デザインはありますか？,刻印するスペースより、大きいものは選べない場合があります。不安な場合は希望のアイテムとデザインを公式LINEからお知らせいただければ確認します。
3. カピバラデザイン・刻印,革の色によって刻印が見えにくくなることはありますか？,はい。革の色や表面の質感によって、刻印の見え方は異なります。特にブラックは遠目では控えめに見え、近くで見るとカピバラが分かる仕上がりです。
3. カピバラデザイン・刻印,自分で用意したイラストを刻印できますか？,こちらでご用意しているカピバラデザインのみ刻印できます。いろんなデザインをご用意していますので、刻印カスタマイズご案内ページからご覧ください。
3. カピバラデザイン・刻印,カピバラ刻印なしでも注文できますか？,もちろんできます。備考欄に「カピバラ刻印なし希望」と記載してご注文ください。
4. カスタマイズ・オーダー,どこまでカスタマイズできますか？,革の色やカピバラデザイン、刻印位置などをカスタマイズできます。アイテムによって対応できる内容が異なるため、公式LINEから店主に直接ご相談ください。
4. カスタマイズ・オーダー,革・糸・金具の色を変更できますか？,はい、商品や材料の在庫によって変更できます。希望する商品と色を公式LINEから店主に直接ご相談ください。
4. カスタマイズ・オーダー,サイズやポケットなど、商品の構造を変更できますか？,商品によっては、サイズ変更やポケット追加などに対応できます。型紙の作り直しや材料の追加が必要になるため、追加料金や通常より長い製作期間がかかる場合があります。
4. カスタマイズ・オーダー,ストラップやチャームを追加できますか？,対応商品には、リールストラップやチャームなどを追加できます。商品ページのオプションをご確認ください。選択肢にない組み合わせは公式LINEから店主に直接ご相談ください。
4. カスタマイズ・オーダー,左利き用に変更できますか？,商品によっては、開く向きやパーツの位置を左右反転させて対応いたします。左利き対応のオプション選択が表示されていないアイテムについては、公式LINEから店主に直接ご相談ください。
4. カスタマイズ・オーダー,手持ちのカードや鍵に合わせて作れますか？,オーダーメイド対応となるため、公式LINEから店主に直接ご相談ください。収納したいものの縦・横・厚みをヒアリングして、製作できるかをお伝えします。
4. カスタマイズ・オーダー,注文前にカスタマイズの相談はできますか？,はい、できます。まだ内容が決まっていない段階でも大丈夫です。公式LINEでは店主が直接チャットでご相談にのります。
4. カスタマイズ・オーダー,カスタマイズの料金と納期を知りたいです,カピバラ刻印の変更や、刻印できるスペースへの追加は基本的に無料です。色・サイズ・構造の変更は、追加料金や通常より長い製作期間がかかる場合があります。詳しくは公式LINEから店主に直接ご相談ください。
4. カスタマイズ・オーダー,注文後にカスタマイズ内容を変更できますか？,製作開始前であれば変更できる場合があります。できるだけ早く、注文者名・注文商品・変更内容を公式LINEから店主に直接お知らせください。製作状況によっては変更を承れない場合があります。
5. 名入れ,名入れ刻印はできますか？料金はいくらですか？,はい、名入れ刻印を追加できます。追加料金は500円です。商品ページのオプションから追加してください。
5. 名入れ,名入れはどこに、何文字まで刻印できますか？,商品ごとに名入れ位置と刻印できる文字数が異なります。商品ページの名入れ案内をご確認ください。
5. 名入れ,名入れに使える文字を教えてください,アルファベットは大文字のみ、数字も刻印できます。ひらがな・漢字・記号には対応していません。対応できる文字は商品ページの名入れ案内をご確認ください。
5. 名入れ,名前以外の言葉・記念日・イニシャルも刻印できますか？,文字数と使用できる文字の範囲内であれば、短い言葉、数字による記念日、イニシャルも刻印できます。ただし、ドットなどの記号は刻印できません。
5. 名入れ,名入れの仕上がりを事前に確認できますか？,通常は完成前の仕上がり画像をお送りしていません。文字数や配置に不安がある場合は、ご注文前に公式LINEから店主に直接ご相談ください。
5. 名入れ,名入れ商品は返品・交換できますか？,お客さまのご指定どおりに名入れした商品は、お客さま都合による返品・交換を承れません。商品に欠陥がある場合や、注文内容と異なる場合は対応しますので、到着後1週間以内にご連絡ください。
